M 5
Td 5
Tw 3
Tb 1
Tin 2
Tout 2
Company1 balance $10000
Company2 balance $5000

Time 0: Employee 1 Company1; check balance 
Time 0: Employee 2 Company2; check balance
Time 0: Employee 3 Company1; check balance
Time 1: Employee 4 Company2; deposit $2000
Time 1: Employee 5 Company2; check balance
Time 4: Employee 6 Company1; withdrawal $3000
Time 4: Employee 7 Company2; check balance
Time 5: Employee 8 Company1; withdrawal $1500
Time 5: Employee 9 Company1; deposit $500
Time 6: Employee 10 Company2; withdrawal $1000
Time 7: Employee 11 Company1; check balance
Time 7: Employee 12 Company2; deposit $500
Time 10: Employee 13 Company1; deposit $2000
Time 11: Employee 14 Company1; deposit $4000
Time 11: Employee 15 Company2; withdrawal $3000
Time 13: Employee 16 Company2; check balance
Time 15: Employee 17 Company1; check balance
Time 15: Employee 18 Company1; withdrawal $3500
Time 17: Employee 19 Company2; deposit $2000
Time 17: Employee 20 Company1; check balance
Time 18: Employee 21 Company2; check balance
Time 20: Employee 22 Company2; deposit $1500
Time 21: Employee 23 Company1; withdrawal $1000
Time 21: Employee 24 Company1; deposit $1500
Time 24: Employee 25 Company2; withdrawal $500
Time 24: Employee 26 Company2; withdrawal $1000
Time 24: Employee 27 Company1; withdrawal $1000
Time 27: Employee 28 Company1; check balance
Time 27: Employee 29 Company1; check balance
Time 28: Employee 30 Company2; check balance

